hpo_id	hpo_name	ncbi_gene_id	gene_symbol	disease_id
HP:0002188	Delayed CNS myelination	128869	PIGU	OMIM:618590
HP:0002188	Delayed CNS myelination	7707	ZNF148	OMIM:617260
HP:0002188	Delayed CNS myelination	5515	PPP2CA	OMIM:618354
HP:0002188	Delayed CNS myelination	6567	SLC16A2	OMIM:300523
HP:0002188	Delayed CNS myelination	79868	ALG13	OMIM:300884
HP:0002188	Delayed CNS myelination	51601	LIPT1	OMIM:616299
HP:0002188	Delayed CNS myelination	473	RERE	OMIM:616975
HP:0002188	Delayed CNS myelination	7453	WARS1	OMIM:620317
HP:0002188	Delayed CNS myelination	6513	SLC2A1	OMIM:608885
HP:0002188	Delayed CNS myelination	23097	CDK19	OMIM:618916
HP:0002188	Delayed CNS myelination	16	AARS1	OMIM:619691
HP:0002188	Delayed CNS myelination	10588	MTHFS	OMIM:618367
HP:0002188	Delayed CNS myelination	23221	RHOBTB2	OMIM:618004
HP:0002188	Delayed CNS myelination	63925	ZNF335	OMIM:615095
HP:0002188	Delayed CNS myelination	22930	RAB3GAP1	OMIM:600118
HP:0002188	Delayed CNS myelination	112939	NACC1	OMIM:617393
HP:0002188	Delayed CNS myelination	54496	PRMT7	OMIM:617157
HP:0002188	Delayed CNS myelination	5530	PPP3CA	OMIM:617711
HP:0002188	Delayed CNS myelination	10352	WARS2	OMIM:617710
HP:0002188	Delayed CNS myelination	23511	NUP188	OMIM:618804
HP:0002188	Delayed CNS myelination	26007	TKFC	OMIM:618805
HP:0002188	Delayed CNS myelination	4358	MPV17	OMIM:256810
HP:0002188	Delayed CNS myelination	3054	HCFC1	OMIM:309541
